Spotify most streamed songs of all time,,
,,
Artist and Title,Streams,Daily
Taylor Swift - Style,"1,387,115,037","455,815"
Michael Jackson - Beat It,"1,386,051,209","673,202"
Nickelback - How You Remind Me,"1,384,611,204","869,517"
Taylor Swift - Don’t Blame Me,"1,384,584,868","560,132"
Kate Bush - Running Up That Hill (A Deal With God),"1,384,531,299","512,490"
Olivia Rodrigo - happier,"1,383,742,648","662,123"
Robin Schulz - Sugar,"1,379,324,573","466,793"
Calvin Harris - How Deep Is Your Love,"1,377,525,552","668,418"
GIVĒON - Heartbreak Anniversary,"1,374,182,971","412,829"
Metallica - Nothing Else Matters,"1,373,804,714","604,219"
Beach House - Space Song,"1,372,618,851","790,142"
Calum Scott - Dancing On My Own,"1,371,930,829","417,780"
Drake - Nice For What,"1,371,427,709","281,751"
Maroon 5 - This Love,"1,370,091,804","907,237"
Coldplay - Sparks,"1,369,878,880","1,091,898"
Kanye West - Flashing Lights,"1,368,368,178","836,246"
Fetty Wap - Trap Queen,"1,366,307,985","829,621"
Lady Gaga - Just Dance,"1,365,965,345","1,536,680"
Duncan Laurence - Arcade,"1,364,697,826","485,575"
The Weeknd - Stargirl Interlude,"1,363,877,628","577,602"
The Notorious B.I.G. - Hypnotize,"1,360,566,849","725,416"
Post Malone - Goodbyes,"1,360,337,844","258,689"
Doja Cat - Paint The Town Red,"1,360,087,577","547,248"
Elton John - I'm Still Standing,"1,359,549,624","674,249"
Fall Out Boy - Centuries,"1,357,976,816","456,223"
Jimin - Like Crazy,"1,357,213,420","280,450"
Aerosmith - Dream On,"1,354,111,952","557,675"
Selena Gomez - Lose You To Love Me,"1,352,989,276","330,917"
JVKE - golden hour,"1,352,712,806","585,666"
KALEO - Way down We Go,"1,352,534,331","565,262"
BTS - Butter,"1,351,754,530","241,767"
Ariana Grande - Dangerous Woman,"1,351,490,632","601,636"
Lorde - Royals,"1,348,572,614","431,990"
fun. - We Are Young,"1,348,304,427","553,275"
girl in red - we fell in love in october,"1,348,180,946","645,731"
Katy Perry - Roar,"1,346,341,589","664,169"
Nicki Minaj - Starships,"1,345,975,971","644,712"
Akon - Smack That,"1,345,974,552","746,043"
Ice Cube - It Was A Good Day,"1,345,808,018","638,912"
Olivia Rodrigo - vampire,"1,344,936,645","823,184"
blackbear - hot girl bummer,"1,344,780,958","222,296"
Kanye West - Father Stretch My Hands Pt. 1,"1,341,494,511","406,249"
Kanye West - Gold Digger,"1,338,127,799","453,380"
Papa Roach - Last Resort,"1,336,972,426","672,893"
Ben E. King - Stand By Me,"1,336,196,755","994,201"
Daniel Caesar - Get You,"1,335,973,738","939,168"
Masked Wolf - Astronaut In The Ocean,"1,334,757,003","261,983"
blink-182 - All The Small Things,"1,334,608,855","533,881"
Fleetwood Mac - The Chain,"1,333,758,484","809,137"
TV Girl - Lovers Rock,"1,332,926,877","1,138,314"
Kendrick Lamar - DNA.,"1,332,199,759","435,736"
Bon Jovi - You Give Love A Bad Name,"1,329,888,364","508,602"
DJ Khaled - I'm the One,"1,326,030,230","219,988"
Rihanna - S&M,"1,325,818,758","778,322"
Future - Life Is Good,"1,324,473,237","303,561"
Dua Lipa - Break My Heart,"1,321,427,618","303,630"
Loud Luxury - Body,"1,320,686,196","347,848"
Black Sabbath - Paranoid,"1,320,147,435","707,511"
TLC - No Scrubs,"1,319,356,223","658,548"
Olivia Rodrigo - favorite crime,"1,319,185,355","610,707"
Maroon 5 - What Lovers Do,"1,318,316,078","382,919"
Van Morrison - Brown Eyed Girl,"1,317,257,185","728,336"
Outkast - Ms. Jackson,"1,314,840,476","659,594"
Bad Bunny - Moscow Mule,"1,314,604,818","1,047,204"
Hotel Ugly - Shut up My Moms Calling,"1,311,295,931","1,074,592"
Alicia Keys - If I Ain't Got You,"1,311,030,730","674,025"
Taylor Swift - Look What You Made Me Do,"1,310,619,419","354,864"
LISA - MONEY,"1,310,078,091","278,380"
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]","1,310,053,693","942,710"
Zedd - Stay,"1,308,544,849","272,255"
Frank Ocean - Thinkin Bout You,"1,308,007,266","794,143"
Amy Winehouse - Back To Black,"1,307,823,402","671,387"
Elley Duhé - MIDDLE OF THE NIGHT,"1,306,295,258","416,909"
The Chainsmokers - Paris,"1,304,277,826","449,639"
Doja Cat - Need to Know,"1,303,333,888","425,017"
Joel Corry - Head & Heart,"1,303,121,103","266,463"
Jay Wheeler - La Curiosidad,"1,301,824,672","441,012"
Doja Cat - Streets,"1,301,164,702","684,192"
James Bay - Let It Go,"1,300,944,276","285,247"
Eminem - Stan,"1,300,463,980","437,018"
Frank Ocean - Lost,"1,299,619,986","753,258"
Plan B - Es un Secreto,"1,297,674,620","809,280"
The Neighbourhood - Softcore,"1,297,173,179","937,316"
Green Day - Basket Case,"1,296,677,089","702,033"
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)","1,296,565,095","596,280"
Grupo Frontera - un x100to,"1,296,062,518","579,170"
Sabrina Carpenter - Nonsense,"1,293,318,589","876,864"
Bruno Mars - Marry You,"1,292,856,903","655,240"
Julia Michaels - Issues,"1,292,551,004","214,704"
Brenda Lee - Rockin' Around The Christmas Tree,"1,291,039,804","26,387"
Tiësto - The Business,"1,290,919,351","216,043"
Justin Bieber - Intentions,"1,290,326,321","286,677"
Travis Scott - FE!N,"1,290,192,896","1,129,289"
Doja Cat - Say So,"1,285,262,650","244,309"
Ariana Grande - Santa Tell Me,"1,284,159,282","43,370"
Meek Mill - Going Bad,"1,283,911,694","234,487"
Katy Perry - Firework,"1,283,256,010","722,945"
DJ Khaled - Wild Thoughts,"1,280,607,016","321,554"
Rauw Alejandro - Desesperados,"1,280,008,281","585,878"
JP Saxe - If The World Was Ending,"1,280,001,657","344,093"
Artemas - i like the way you kiss me,"1,279,131,440","797,242"
Spice Girls - Wannabe,"1,279,114,090","544,145"
Stephen Sanchez - Until I Found You,"1,278,640,651","719,079"
M83 - Midnight City,"1,278,016,966","610,988"
Måneskin - I WANNA BE YOUR SLAVE,"1,277,635,099","490,593"
Flo Rida - Low,"1,276,905,116","755,020"
Lewis Capaldi - Bruises,"1,276,564,500","308,644"
Calvin Harris - Feel So Close,"1,276,497,603","778,681"
KAROL G - TQG,"1,274,719,357","883,689"
One Direction - Drag Me Down,"1,274,258,578","281,858"
Kodaline - All I Want,"1,273,001,132","423,537"
Anuel AA - China,"1,269,932,281","280,091"
The Verve - Bitter Sweet Symphony,"1,269,798,055","762,844"
Swedish House Mafia - Don't You Worry Child,"1,267,855,228","543,024"
Feid - LUNA,"1,267,770,473","1,054,909"
Ariana Grande - Stuck with U,"1,266,816,210","393,521"
George Michael - Careless Whisper,"1,263,190,349","651,606"
Pop Smoke - What You Know Bout Love,"1,260,416,973","272,001"
Kungs - This Girl,"1,259,791,236","449,221"
Lost Frequencies - Are You With Me,"1,259,608,993","458,417"
Zach Bryan - Something in the Orange,"1,257,840,784","765,990"
Shaboozey - A Bar Song (Tipsy),"1,257,825,990","1,682,968"
Rihanna - Don't Stop The Music,"1,257,739,855","921,594"
Adele - Make You Feel My Love,"1,255,457,703","404,964"
The Clash - Should I Stay or Should I Go,"1,255,398,436","458,165"
Jonas Blue - Fast Car,"1,254,478,680","368,034"
Nio Garcia - Te Boté,"1,251,833,151","224,036"
Rihanna - FourFiveSeconds,"1,251,369,939","277,152"
Florence + The Machine - Dog Days Are Over,"1,249,346,559","685,914"
Coldplay - Adventure of a Lifetime,"1,248,877,689","909,207"
Hailee Steinfeld - Starving,"1,248,333,062","169,877"
Lilly Wood and The Prick - Prayer in C,"1,247,789,478","494,377"
The Notorious B.I.G. - Big Poppa,"1,246,438,936","747,771"
Taio Cruz - Dynamite,"1,245,662,218","540,342"
Morgan Wallen - Last Night,"1,245,566,416","835,272"
Smash Mouth - All Star,"1,245,469,174","412,427"
Disclosure - Latch,"1,245,150,515","750,460"
Justin Timberlake - Mirrors,"1,243,942,541","605,586"
JAY-Z - Empire State Of Mind,"1,243,903,121","618,874"
KISS - I Was Made For Lovin' You,"1,243,423,052","744,336"
Yng Lvcas - La Bebe,"1,242,389,123","301,045"
Gnarls Barkley - Crazy,"1,240,802,655","405,377"
KAROL G - QLONA,"1,240,148,589","690,108"
Guns N' Roses - Paradise City,"1,238,046,937","492,544"
Lil Uzi Vert - 20 Min,"1,237,732,385","521,112"
The Weeknd - I Was Never There,"1,237,587,516","674,363"
Rosa Linn - SNAP,"1,237,278,153","465,590"
Billie Eilish - idontwannabeyouanymore,"1,237,185,921","378,455"
The Weeknd - Reminder,"1,236,132,396","563,956"
Hoobastank - The Reason,"1,236,066,575","768,890"
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"1,233,225,688","478,406"
Desiigner - Panda,"1,232,458,603","158,013"
Post Malone - White Iverson,"1,232,308,463","303,514"
Ali Gatie - It's You,"1,229,019,614","289,047"
WILLOW - Wait a Minute!,"1,228,120,599","361,433"
Pedro Capó - Calma,"1,226,773,102","251,110"
BØRNS - Electric Love,"1,223,962,445","395,521"
Rudimental - These Days,"1,222,900,028","248,319"
Meghan Trainor - Like I'm Gonna Lose You,"1,222,890,056","370,585"
System Of A Down - Toxicity,"1,221,697,301","1,071,453"
Lil Wayne - Sucker for Pain,"1,220,604,321","211,588"
Kygo - Firestone,"1,220,568,270","306,833"
21 Savage - Bank Account,"1,219,977,939","153,857"
Lil Baby - Yes Indeed,"1,219,584,151","235,540"
Daryl Hall & John Oates - You Make My Dreams (Come True),"1,219,400,431","581,765"
U2 - With Or Without You,"1,219,108,291","515,812"
Calvin Harris - My Way,"1,218,992,323","612,340"
Bobby Helms - Jingle Bell Rock,"1,218,641,390","33,737"
Calvin Harris - Feels,"1,215,683,293","589,374"
Avicii - Without You,"1,214,587,037","440,187"
Sia - Snowman,"1,214,328,120","216,590"
Demi Lovato - Sorry Not Sorry,"1,211,702,792","135,193"
Imagine Dragons - Bad Liar,"1,211,495,829","426,717"
GAYLE - abcdefu,"1,210,810,314","237,802"
Feid - Feliz Cumpleaños Ferxxo,"1,209,893,644","460,213"
Plain White T's - Hey There Delilah,"1,208,971,244","354,445"
Arctic Monkeys - R U Mine?,"1,208,621,741","459,580"
Justin Bieber - Baby,"1,208,550,539","768,249"
Noah Cyrus - July,"1,208,269,596","373,114"
Bee Gees - Stayin' Alive,"1,208,007,685","655,075"
Drake - Nonstop,"1,207,312,359","205,731"
Red Hot Chili Peppers - Snow (Hey Oh),"1,206,276,015","355,954"
Chris Stapleton - Tennessee Whiskey,"1,205,494,345","877,205"
Rag'n'Bone Man - Human,"1,203,823,568","495,464"
Myke Towers - LALA,"1,202,326,336","527,762"
Mario - Let Me Love You,"1,202,069,585","592,518"
The Outfield - Your Love,"1,202,051,539","761,930"
Of Monsters and Men - Little Talks,"1,201,486,012","529,104"
Red Hot Chili Peppers - Otherside,"1,200,455,936","503,081"
Pop Smoke - For The Night,"1,200,190,889","194,097"
"Tyler, The Creator - EARFQUAKE","1,198,368,635","533,594"
Bruno Mars - Treasure,"1,196,679,140","348,313"
Tommy Richman - MILLION DOLLAR BABY,"1,194,681,171","1,019,601"
Adele - Send My Love (To Your New Lover),"1,194,062,622","291,466"
Eminem - The Monster,"1,193,778,828","410,345"
Jung Kook - Standing Next to You,"1,193,375,652","874,634"
Topic - Breaking Me,"1,190,802,356","144,312"
Jaymes Young - Infinity,"1,189,484,822","398,309"
Bob Marley & The Wailers - Three Little Birds,"1,189,171,183","663,766"
Eminem - Rap God,"1,188,846,383","254,166"
Bruno Mars - It Will Rain,"1,187,360,047","913,167"
Bryson Tiller - Exchange,"1,186,931,861","434,624"
Pop Smoke - Dior,"1,186,896,917","297,863"
KAROL G - Si Antes Te Hubiera Conocido,"1,186,807,240","2,271,837"
Jason Derulo - Swalla,"1,186,161,052","206,100"
Dr. Dre - The Next Episode,"1,185,053,808","442,654"
ROSALÍA - DESPECHÁ,"1,183,950,766","347,123"
Black Eyed Peas - Where Is The Love?,"1,182,127,184","487,940"
"The Offspring - You're Gonna Go Far, Kid","1,178,824,595","519,587"
"Beach Weather - Sex, Drugs, Etc.","1,177,955,631","994,586"
Cage The Elephant - Cigarette Daydreams,"1,177,763,944","761,936"
Billie Eilish - WILDFLOWER,"1,176,644,929","2,947,386"
Iyaz - Replay,"1,176,410,184","873,996"
Flo Rida - My House,"1,176,160,124","255,116"
Jawsh 685 - Savage Love (Laxed,"1,174,999,406","154,963"
Michael Bublé - It's Beginning to Look a Lot like Christmas,"1,174,932,909","20,481"
Michael Bublé - It’s Beginning to Look a Lot Like Christmas,"1,174,932,909","20,481"
Skrillex - Where Are Ü Now,"1,174,652,945","179,013"
Jack Ü - Where Are Ü Now,"1,174,473,932","217,568"
Coldplay - Clocks,"1,172,580,556","876,918"
Empire Of The Sun - Walking On A Dream,"1,172,216,419","1,086,234"
Shaggy - It Wasn't Me,"1,171,073,689","548,462"
Red Hot Chili Peppers - Scar Tissue,"1,168,843,504","887,138"
Aerosmith - I Don't Want To Miss A Thing,"1,168,471,895","441,567"
YNW Melly - Murder on My Mind,"1,167,652,865","394,304"
Kodak Black - ZEZE,"1,167,649,607","269,427"
Billy Joel - Uptown Girl,"1,166,856,310","679,690"
Calvin Harris - Slide,"1,164,784,694","485,497"
Calum Scott - You Are The Reason,"1,164,095,270","327,078"
DJ Snake - Middle,"1,163,743,599","347,759"
Nicky Youre - Sunroof,"1,162,954,426","611,692"
Green Day - American Idiot,"1,162,575,088","622,859"
Drake - Jimmy Cooks,"1,161,863,693","417,580"
R. City - Locked Away,"1,161,718,140","504,688"
Shakira - Chantaje,"1,161,589,518","665,251"
Dominic Fike - 3 Nights,"1,159,929,137","375,160"
Eminem - Not Afraid,"1,159,485,616","334,859"
Bob Marley & The Wailers - Could You Be Loved,"1,157,760,788","837,330"
Ozuna - Hey Mor,"1,157,638,043","493,507"
Bill Withers - Ain't No Sunshine,"1,156,890,937","493,374"
Ariana Grande - God is a woman,"1,155,699,476","241,452"
American Authors - Best Day Of My Life,"1,155,615,448","544,142"
The Chainsmokers - Roses,"1,155,273,795","535,789"
Bruno Mars - The Lazy Song,"1,154,358,425","597,322"
Fleetwood Mac - Go Your Own Way,"1,152,296,940","550,235"
Lady Gaga - Rain On Me,"1,151,881,620","275,143"
Billie Eilish - Bored,"1,151,656,159","436,675"
Katy Perry - The One That Got Away,"1,151,602,011","910,694"
Taylor Swift - Delicate,"1,150,279,285","365,357"
Avicii - Hey Brother,"1,150,112,529","466,687"
Lana Del Rey - Video Games,"1,149,043,153","706,218"
Daddy Yankee - Gasolina,"1,148,971,553","769,776"
Selena Gomez - Back To You,"1,148,930,526","222,105"
Jonas Blue - Perfect Strangers,"1,148,901,704","355,866"
Hailee Steinfeld - Let Me Go,"1,148,760,574","169,765"
Kanye West - Bound 2,"1,148,647,141","546,393"
JAY-Z - Numb / Encore,"1,148,516,449","281,430"
Lil Nas X - THATS WHAT I WANT,"1,147,151,717","241,429"
Eminem - Superman,"1,146,990,535","555,557"
Justin Bieber - Beauty And A Beat,"1,146,698,942","996,113"
Bruno Mars - Wake Up in the Sky,"1,146,463,526","332,251"
David Guetta - Memories,"1,146,269,096","813,810"
Tory Lanez - The Color Violet,"1,145,527,459","833,726"
Sheck Wes - Mo Bamba,"1,143,875,146","228,420"
Jimmy Eat World - The Middle,"1,143,475,962","570,130"
"Dan + Shay - 10,000 Hours","1,143,233,682","193,936"
Timbaland - The Way I Are,"1,142,925,799","775,955"
Miley Cyrus - Angels Like You,"1,142,009,751","642,159"
Chris Brown - No Guidance,"1,141,894,956","303,687"
Billie Eilish - i love you,"1,140,741,515","657,940"
The Temptations - My Girl,"1,139,753,326","574,623"
Mr. Probz - Waves,"1,137,840,132","633,121"
J. Cole - Work Out,"1,136,661,858","463,286"
A Great Big World - Say Something,"1,136,387,861","201,829"
The Weeknd - After Hours,"1,135,574,324","520,062"
Katy Perry - Hot N Cold,"1,134,618,036","849,574"
The Weeknd - Often,"1,134,419,557","404,525"
Jason Derulo - Want to Want Me,"1,134,276,660","223,352"
David Guetta - Sexy Bitch,"1,131,676,249","617,302"
The Weeknd - Die For You,"1,131,424,105","498,231"
Lil Uzi Vert - The Way Life Goes,"1,130,193,401","313,900"
BLACKPINK - How You Like That,"1,130,133,367","275,717"
"Drake - Hold On, We're Going Home","1,127,302,419","442,198"
Drake - Toosie Slide,"1,127,266,964","189,870"
Calvin Harris - Blame,"1,127,049,122","497,857"
Don Toliver - No Idea,"1,126,241,368","441,451"
Patrick Watson - Je te laisserai des mots,"1,125,248,089","688,631"
50 Cent - Candy Shop,"1,124,939,344","440,971"
Fleetwood Mac - Everywhere,"1,124,792,126","750,760"
Avicii - Levels,"1,124,226,880","468,495"
Feid - CLASSY 101,"1,124,084,496","495,230"
Led Zeppelin - Stairway to Heaven,"1,121,632,942","431,410"
The Animals - House of the Rising Sun,"1,121,290,668","599,626"
Swedish House Mafia - Moth To A Flame,"1,120,482,120","676,866"
Wham! - Wake Me Up Before You Go-Go,"1,119,104,904","447,352"
The Weeknd - Popular,"1,118,909,442","602,682"
Ty Dolla $ign - Or Nah,"1,117,983,720","390,316"
Clean Bandit - Solo,"1,117,857,915","253,732"
Gesaffelstein - Lost in the Fire,"1,117,560,357","519,059"
Zac Efron - Rewrite The Stars,"1,117,238,124","382,066"
Dua Lipa - Dance The Night,"1,117,071,199","534,004"
Drake - Too Good,"1,115,314,929","172,016"
My Chemical Romance - Teenagers,"1,114,358,880","369,900"
USHER - DJ Got Us Fallin' In Love,"1,113,461,060","765,253"
Nicky Jam - X,"1,113,144,149","309,219"
The Offspring - The Kids Aren't Alright,"1,113,134,661","514,141"
TOTO - Hold the Line,"1,112,258,609","583,232"
Future - Low Life,"1,112,066,516","641,968"
Billie Eilish - bellyache,"1,111,410,323","373,974"
Miley Cyrus - We Can't Stop,"1,111,277,184","505,074"
Mark Ronson - Nothing Breaks Like a Heart,"1,107,409,652","365,594"
3 Doors Down - Kryptonite,"1,107,311,658","564,417"
4 Non Blondes - What's Up?,"1,107,291,829","549,099"
Imagine Dragons - On Top Of The World,"1,106,731,543","410,451"
The Weeknd - Heartless,"1,105,782,165","313,361"
Kygo - Stole the Show,"1,104,197,219","338,582"
Post Malone - Go Flex,"1,104,053,512","179,097"
Bazzi - Mine,"1,103,515,452","209,996"
The Script - Breakeven,"1,102,849,350","800,512"
Ava Max - Kings & Queens,"1,102,597,538","474,712"
Calvin Harris - Promises,"1,101,945,195","232,526"
Avril Lavigne - Complicated,"1,100,049,335","639,013"
G-Eazy - Him & I,"1,099,908,164","488,179"
Ariana Grande - Love Me Harder,"1,099,600,876","527,606"
Post Malone - Candy Paint,"1,099,362,661","175,887"
Seafret - Atlantis,"1,098,653,702","687,035"
Niall Horan - This Town,"1,098,556,917","321,798"
New West - Those Eyes,"1,098,369,487","916,554"
Dhruv - double take,"1,097,305,692","458,140"
Kina - Get You The Moon,"1,096,974,287","179,849"
Guns N' Roses - November Rain,"1,095,570,957","479,905"
Elvis Presley - Can't Help Falling in Love,"1,094,493,030","534,290"
Sia - Elastic Heart,"1,094,076,419","418,795"
Don Omar - Dile,"1,092,681,399","772,047"
Shawn Mendes - If I Can't Have You,"1,090,414,175","202,286"
Maroon 5 - One More Night,"1,089,822,917","662,848"
Nico & Vinz - Am I Wrong,"1,089,628,483","317,304"
Britney Spears - ...Baby One More Time,"1,089,521,728","646,185"
Billie Eilish - bury a friend,"1,089,248,732","207,402"
Queen - Crazy Little Thing Called Love,"1,088,903,135","373,763"
Becky G - MAMIII,"1,088,875,563","435,917"
Dua Lipa - Physical,"1,088,184,584","270,784"
"Olivia Rodrigo - jealousy, jealousy","1,088,114,568","498,434"
Tove Lo - Habits (Stay High),"1,087,795,704","542,670"
Benson Boone - In The Stars,"1,087,145,291","1,093,608"
Tyla - Water,"1,086,174,517","1,019,445"
Linkin Park - What I've Done,"1,085,432,431","572,146"
Miley Cyrus - Wrecking Ball,"1,085,235,140","477,897"
Foreigner - I Want to Know What Love Is,"1,084,765,864","901,269"
The Mamas & The Papas - California Dreamin',"1,084,443,396","578,862"
James Arthur - Rewrite The Stars,"1,083,412,602","672,533"
Kygo - Higher Love,"1,083,337,731","355,450"
Electric Light Orchestra - Mr. Blue Sky,"1,083,300,658","452,152"
Chase Atlantic - Swim,"1,082,826,671","1,195,788"
Frank Ocean - Ivy,"1,082,175,132","693,505"
Dennis Lloyd - Nevermind,"1,081,581,441","343,916"
Riton - Friday,"1,081,178,812","325,716"
21 Savage - a lot,"1,080,768,420","389,381"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),"1,080,200,376","262,182"
Mabel - Don't Call Me Up,"1,079,577,559","149,358"
Harry Styles - Late Night Talking,"1,079,305,050","288,203"
Bad Bunny - LA NOCHE DE ANOCHE,"1,078,720,562","310,907"
Franz Ferdinand - Take Me Out,"1,077,509,059","736,029"
Sixpence None The Richer - Kiss Me,"1,076,834,108","936,733"
Post Malone - I Had Some Help (Feat. Morgan Wallen),"1,076,557,875","1,655,551"
Ariana Grande - 34+35,"1,074,112,630","241,828"
Liam Payne - Strip That Down,"1,073,856,212","148,591"
Gunna - fukumean,"1,073,651,424","348,429"
Zach Bryan - I Remember Everything,"1,073,044,589","956,851"
Blur - Song 2,"1,072,590,989","448,839"
Bad Bunny - La Santa,"1,072,417,294","539,771"
Bad Bunny - Vete,"1,072,041,912","343,722"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53","1,071,822,679","286,926"
PARTYNEXTDOOR - Break from Toronto,"1,071,709,595","547,415"
Justin Timberlake - SexyBack,"1,071,288,127","604,318"
Toploader - Dancing in the Moonlight,"1,071,091,623","519,238"
Simple Minds - Don't You (Forget About Me),"1,070,261,272","576,058"
Lil Nas X - Old Town Road,"1,069,317,904","199,039"
Katy Perry - I Kissed A Girl,"1,068,749,804","529,597"
Lil Wayne - Love Me,"1,067,180,148","963,089"
One Direction - Perfect,"1,065,659,050","456,793"
Lunay - Soltera (Remix),"1,065,629,305","294,898"
Luke Combs - When It Rains It Pours,"1,065,281,264","781,576"
Oasis - Don't Look Back in Anger,"1,064,979,742","648,217"
Future - WAIT FOR U,"1,064,478,098","653,537"
Rage Against The Machine - Killing In The Name,"1,064,124,789","540,815"
Pixies - Where Is My Mind?,"1,063,960,587","542,239"
Taylor Swift - Wildest Dreams,"1,063,952,864","236,886"
The Weeknd - Pray For Me,"1,062,778,285","323,769"
Polo G - RAPSTAR,"1,062,734,246","308,292"
Dua Lipa - Levitating,"1,062,410,421","390,307"
Icona Pop - I Love It,"1,061,697,701","666,764"
Bad Bunny - PERRO NEGRO,"1,061,648,237","686,299"
Eyedress - Jealous,"1,060,174,823","538,844"
Sean Paul - Temperature,"1,058,661,398","819,378"
Rae Sremmurd - Black Beatles,"1,058,566,747","291,615"
AURORA - Runaway,"1,058,540,150","566,737"
Creedence Clearwater Revival - Bad Moon Rising,"1,058,275,317","407,800"
Train - Drops Of Jupiter,"1,056,345,570","680,186"
Ed Sheeran - The A Team,"1,055,748,934","281,951"
Katy Perry - California Gurls,"1,055,492,607","818,260"
MEDUZA - Piece Of Your Heart,"1,054,695,771","186,993"
Bad Bunny - Si Estuviésemos Juntos,"1,054,337,092","488,407"
George Ezra - Shotgun,"1,054,253,502","401,645"
Juice WRLD - Come & Go,"1,054,208,437","212,695"
Tracy Chapman - Fast Car,"1,053,353,293","558,258"
Taylor Swift - You Need To Calm Down,"1,052,707,817","246,587"
Bon Jovi - It's My Life,"1,052,678,141","520,724"
"Ariana Grande - break up with your girlfriend, i'm bored","1,051,264,083","178,746"
GROUPLOVE - Tongue Tied,"1,050,674,855","523,101"
Selena Gomez & The Scene - Love You Like A Love Song,"1,050,312,151","539,497"
Metro Boomin - Space Cadet,"1,050,037,881","272,592"
Elton John - Your Song,"1,047,830,036","402,309"
Drake - Laugh Now Cry Later,"1,046,369,556","261,684"
"Pink Floyd - Another Brick in the Wall, Pt. 2","1,045,759,551","532,488"
V - Love Me Again,"1,045,756,883","258,784"
*NSYNC - Bye Bye Bye,"1,045,189,478","802,500"
Creedence Clearwater Revival - Bad Moon Risin,"1,044,796,204",
Drake - Money In The Grave (Drake ft. Rick Ross),"1,043,457,933","164,008"
Kanye West - POWER,"1,042,604,926","276,053"
Tainy - Lo Siento BB:/,"1,042,277,423","357,565"
Edward Sharpe & The Magnetic Zeros - Home,"1,041,412,192","454,033"
Flo Rida - Wild Ones,"1,041,165,772","478,169"
TV Girl - Not Allowed,"1,039,075,477","812,958"
Maluma - Borro Cassette,"1,038,524,778","623,939"
Lizzo - Truth Hurts,"1,037,725,416","153,263"
Luke Combs - Beautiful Crazy,"1,036,155,463","391,885"
Cyndi Lauper - Time After Time,"1,036,096,667","585,280"
XXXTENTACION - the remedy for a broken heart (why am I so in love),"1,035,264,478","182,839"
Men At Work - Down Under,"1,035,087,114","629,797"
Kings of Leon - Use Somebody,"1,033,783,576","563,888"
The Jackson 5 - I Want You Back,"1,033,436,303","351,318"
The Weeknd - In Your Eyes,"1,031,706,700","220,511"
Adele - Skyfall,"1,029,582,830","741,290"
Juice WRLD - Wishing Well,"1,028,609,619","311,967"
Ariana Grande - Break Free,"1,027,459,204","428,323"
Polo G - Martin & Gina,"1,027,393,470","264,719"
Sam Smith - How Do You Sleep?,"1,027,246,563","128,701"
Niall Horan - Slow Hands,"1,026,855,738","161,603"
Zara Larsson - Never Forget You,"1,026,478,573","172,860"
Surfaces - Sunday Best,"1,025,528,342","203,777"
Andy Williams - It's the Most Wonderful Time of the Year,"1,024,361,632","11,650"
A Boogie Wit da Hoodie - Drowning,"1,023,658,892","273,356"
Gracie Abrams - That’s So True,"1,023,337,203","3,048,674"
Sabrina Carpenter - Taste,"1,021,036,028","1,997,682"
Metallica - Master of Puppets (Remastered),"1,020,729,907","432,481"
Arctic Monkeys - Fluorescent Adolescent,"1,020,283,864","394,062"
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"1,019,794,737","410,073"
Jonas Blue - Mama,"1,019,512,153","210,886"
Alicia Keys - No One,"1,019,460,222","456,030"
Khalid - Talk,"1,019,273,093","191,440"
Wallows - Are You Bored Yet?,"1,018,961,140","445,657"
Black Eyed Peas - RITMO (Bad Boys For Life),"1,018,809,466","215,039"
Owl City - Fireflies,"1,018,572,512","368,022"
Y2K - Lalala,"1,017,415,639","164,193"
Nelly - Dilemma,"1,017,110,164","524,142"
BlocBoy JB - Look Alive,"1,016,489,851","82,348"
Juice WRLD - Lean Wit Me,"1,016,219,241","300,814"
Gigi Perez - Sailor Song,"1,015,552,384","2,950,898"
The Cranberries - Linger,"1,014,927,334","785,402"
Paulo Londra - Adan y Eva,"1,014,838,700","246,911"
Maroon 5 - Don't Wanna Know,"1,014,517,642","235,854"
Baby Keem - family ties,"1,012,701,489","527,555"
Khalid - Love Lies,"1,011,811,985","159,159"
Maluma - Felices los 4,"1,011,699,116","264,793"
Van Halen - Jump,"1,011,598,799","356,424"
Camila Cabello - Bam Bam,"1,011,398,096","277,489"
Ne-Yo - So Sick,"1,010,297,203","447,254"
James Blunt - You're Beautiful,"1,010,142,682","450,100"
RAYE - Escapism.,"1,009,613,142","543,311"
Billy Joel - Piano Man,"1,009,570,525","652,350"
Haddaway - What Is Love (Original 7' Mix),"1,008,478,921","777,483"
KYLE - iSpy,"1,008,220,037","140,647"
Juice WRLD - Bandit,"1,007,443,516","206,640"
One Direction - Steal My Girl,"1,006,571,781","636,536"
Sleepy Hallow - 2055,"1,006,253,710","308,374"
Drake - Fake Love,"1,005,652,163","94,474"
Nicki Minaj - Super Bass,"1,004,433,988","459,276"
Macklemore - Glorious,"1,003,889,937","342,749"
Luis Fonsi - Échame La Culpa,"1,003,588,280","224,579"
